stem;count
danc;1494
rule;1488
camera;1488
plane;1488
interest;1488
jackson;1485
truck;1485
p;1482
feel;1478
bar;1477
mari;1477
cousin;1476
updat;1476
print;1476
angel;1474
ground;1473
re;1472
uk;1471
miss;1470
technolog;1470
lo;1467
comment;1465
leagu;1463
hit;1463
situat;1462
cheer;1461
california;1458
form;1452
leg;1452
author;1451
golf;1445
ohio;1442
bieber;1440
retweet;1437
tix;1433
fit;1432
defens;1432
pair;1432
word;1430
guess;1426
breath;1423
button;1423
ya;1422
final;1421
celebr;1419
memori;1419
corner;1418
languag;1416
band;1415
librari;1412
trend;1411
post;1407
term;1406
semest;1405
de;1404
game;1403
second;1403
machin;1402
turn;1402
honor;1400
cash;1396
drama;1391
detroit;1390
joi;1389
campu;1383
award;1382
taylor;1381
audienc;1379
alex;1378
bob;1377
bai;1375
english;1372
jone;1370
war;1370
real;1367
plan;1367
yall;1365
